date;close;open;high;low
14/06/2017;5727.07;5774.12;5774.2;5682.35
15/06/2017;5700.89;5661.36;5707.37;5634.58
16/06/2017;5681.48;5694.21;5695.74;5656.62
19/06/2017;5772.22;5729.54;5776.37;5724.49
20/06/2017;5726.31;5763;5772.17;5725.01
21/06/2017;5782.39;5740.58;5784.92;5737.01
22/06/2017;5779.87;5787.44;5802.46;5767.87
23/06/2017;5803.11;5775.03;5810.31;5759.7
26/06/2017;5777.59;5832.31;5845.15;5765.87
27/06/2017;5671.6;5752.72;5761.04;5671.6
28/06/2017;5753.03;5693.48;5757.23;5660.53
29/06/2017;5653.02;5723.31;5723.66;5599.44
30/06/2017;5646.92;5676.4;5681.9;5637.74
03/07/2017;5596.96;5680.36;5684.98;5592.53
04/07/2017;5596.96;5680.36;5684.98;5592.53
05/07/2017;5648.82;5611;5663.6;5593.66
06/07/2017;5597.91;5606.42;5628.84;5579.64
07/07/2017;5656.47;5618.85;5673.02;5618.85
10/07/2017;5694.15;5662.71;5708.62;5650.26
11/07/2017;5709.8;5687.03;5717.91;5667.27
12/07/2017;5778.95;5757.2;5785;5749.65
13/07/2017;5793.36;5785.32;5806.18;5776.62
14/07/2017;5838.08;5815.04;5844.8;5799.85
17/07/2017;5839.74;5845.82;5860.64;5830.25
18/07/2017;5880.1;5832.92;5880.55;5818.2
19/07/2017;5916.16;5898.4;5922.37;5895.54
20/07/2017;5921.22;5929.58;5932.61;5896.61
21/07/2017;5921.53;5905.6;5921.53;5890.25
24/07/2017;5941.37;5920.93;5950.58;5912.74
25/07/2017;5930.65;5927.1;5945.06;5916.29
26/07/2017;5950.73;5944.16;5954.38;5939.17
27/07/2017;5917.03;5994.02;5995.77;5847.05
28/07/2017;5908.92;5883.7;5918.31;5868.92
31/07/2017;5880.33;5928.69;5932.37;5871.79
01/08/2017;5895.17;5900.64;5905.29;5880.45
02/08/2017;5914.23;5934.07;5936.15;5859.62
03/08/2017;5891.2;5915.73;5917.47;5879.72
04/08/2017;5899.91;5899.69;5912.56;5877.06
07/08/2017;5934.73;5909.45;5936.79;5903.75
08/08/2017;5926.35;5922.64;5972.93;5910.5
09/08/2017;5919.39;5879.55;5920.96;5866.17
10/08/2017;5788.19;5880.14;5887.27;5783.36
11/08/2017;5831.53;5792.32;5844.61;5785.26
14/08/2017;5908.17;5878.64;5916.33;5878
15/08/2017;5907.73;5917.29;5919.75;5893.85
16/08/2017;5917.42;5920.68;5944.98;5899.56
17/08/2017;5796.32;5896.32;5903.87;5796.32
18/08/2017;5790.91;5803.9;5831.08;5770.14
21/08/2017;5786.54;5791.04;5804.3;5750.5
22/08/2017;5873.33;5817.29;5879;5817.02
23/08/2017;5851.78;5842.16;5864.78;5840.71
24/08/2017;5834.44;5863.99;5871.87;5802.77
25/08/2017;5822.53;5854.31;5870.47;5815.6
28/08/2017;5838.08;5839.27;5852.8;5821.87
29/08/2017;5862.14;5785.29;5871.79;5785.22
30/08/2017;5932.9;5870.88;5940.57;5865.34
31/08/2017;5988.6;5948.74;5995.45;5945.95
01/09/2017;5987.9;6001.82;6009.61;5972.27
04/09/2017;5987.9;6001.82;6009.61;5972.27
05/09/2017;5932.73;5966.65;5980.91;5890.25
06/09/2017;5951.13;5949.54;5964.38;5909.92
07/09/2017;5964.31;5960.44;5980.15;5943.89
08/09/2017;5913.37;5957.19;5958.81;5907.96
11/09/2017;5980.53;5962.35;5990.87;5960.87
12/09/2017;5995.64;5998.75;6002.97;5968.09
13/09/2017;6004.38;5982.85;6004.47;5974.88
14/09/2017;5968.82;5981.85;5997.23;5965.06
15/09/2017;5988;5965.66;6009.45;5957.85
18/09/2017;5981.12;5997.51;6012.95;5963.17
19/09/2017;5991.08;5991.93;5998.24;5971.17
20/09/2017;5973.6;5987.72;5994.53;5927.7
21/09/2017;5934.91;5965.6;5965.6;5915.74
22/09/2017;5932.32;5912.2;5937.59;5911.48
25/09/2017;5867.35;5904.06;5908.57;5839.9
26/09/2017;5881.34;5893.18;5908.47;5862.99
27/09/2017;5937.79;5912.96;5957.75;5900.35
28/09/2017;5933.07;5920.65;5939.22;5908.62
29/09/2017;5979.3;5941.78;5980.22;5930.82
02/10/2017;5981.92;5988.96;6005.2;5955.83
03/10/2017;5995.06;5986.85;5999.19;5976.65
04/10/2017;5998.84;5983.31;6009.81;5976.12
05/10/2017;6057.14;6018.27;6059.21;6014.77
06/10/2017;6064.57;6037.44;6064.67;6037.02
09/10/2017;6058.53;6071.96;6078.81;6051.33
10/10/2017;6063.52;6078.27;6084.14;6036.72
11/10/2017;6081.25;6062.73;6082.25;6052.44
12/10/2017;6069.99;6072.21;6093.76;6063.47
13/10/2017;6092.45;6094.72;6100.06;6087.03
16/10/2017;6114.53;6108.66;6115.53;6095.63
17/10/2017;6122.61;6111.32;6122.82;6103.66
18/10/2017;6114.35;6128.91;6129.49;6106.85
19/10/2017;6092.62;6074.28;6092.87;6051.47
20/10/2017;6108.82;6114.46;6122.56;6102.16
23/10/2017;6067.83;6122.24;6122.24;6061.08
24/10/2017;6080.22;6078.02;6090.89;6057.69
25/10/2017;6055.04;6069.35;6087.58;6011.24
26/10/2017;6037.87;6056.05;6066.61;6035.96
27/10/2017;6213.47;6138.23;6223.52;6129.8
30/10/2017;6227.59;6209.8;6250.85;6202.53
31/10/2017;6248.56;6241.88;6258.42;6229.15
