date,JOPA3_open,JOPA3_high,JOPA3_low,JOPA3_close,JOPA3_tick_volume,JOPA3_spread,JOPA3_real_volume,JOPA4_open,JOPA4_high,JOPA4_low,JOPA4_close,JOPA4_tick_volume,JOPA4_spread,JOPA4_tick_volume,CGRA3_open,CGRA3_high,CGRA3_low,CGRA3_close,CGRA3_tick_volume,CGRA3_spread,CGRA3_tick_volume,CGRA4_open,CGRA4_high,CGRA4_low,CGRA4_close,CGRA4_tick_volume,CGRA4_spread,CGRA4_tick_volume,SLED3_open,SLED3_high,SLED3_low,SLED3_close,SLED3_tick_volume,SLED3_spread,SLED3_tick_volume
2019-01-08 16:48:00,23.18,23.18,23.18,23.18,1,1,100,12.06,12.68,12.06,12.68,7.0,1.0,7.0,10.97,11.01,10.97,11.01,2,1,2,10.67,10.67,10.67,10.67,1,1,1,170.91,170.91,170.91,170.91,1,1,1
2019-01-24 16:59:00,23.18,23.18,23.18,23.18,1,1,100,12.68,12.68,12.68,12.68,1.0,1.0,1.0,11.02,11.03,11.02,11.03,2,1,2,10.67,10.67,10.67,10.67,1,1,1,170.91,170.91,170.91,170.91,1,1,1
2019-01-28 14:03:00,23.17,23.17,23.17,23.17,1,1,100,12.68,12.68,12.68,12.68,2.0,1.0,2.0,11.09,11.09,11.09,11.09,1,1,1,10.56,10.56,10.55,10.55,2,1,2,159.51,159.51,159.51,159.51,1,1,1
2019-02-05 14:38:00,23.18,23.18,23.18,23.18,1,1,100,12.68,12.68,12.68,12.68,1.0,1.0,1.0,11.06,11.06,11.06,11.06,1,1,1,10.55,10.55,10.55,10.55,1,1,1,159.51,159.51,159.51,159.51,1,1,1
2019-02-08 16:59:00,22.29,22.29,22.29,22.29,2,1,200,12.68,12.68,12.68,12.68,1.0,1.0,1.0,11.06,11.09,11.06,11.09,2,1,2,10.55,10.55,10.55,10.55,1,1,1,159.51,159.51,159.51,159.51,1,1,1
2019-02-14 11:06:00,20.83,20.83,20.83,20.83,1,1,100,12.68,12.68,12.68,12.68,2.0,1.0,2.0,11.09,11.09,11.09,11.09,1,1,1,10.55,10.55,10.55,10.55,1,1,1,159.51,159.51,159.51,159.51,1,1,1
2019-02-14 14:26:00,21.44,21.44,21.44,21.44,1,1,100,13.39,13.39,13.39,13.39,1.0,1.0,1.0,11.09,11.09,11.09,11.09,1,1,1,10.55,10.55,10.55,10.55,1,1,1,159.51,159.51,159.51,159.51,1,1,1
2019-02-21 13:14:00,22.71,22.71,22.71,22.71,1,1,100,13.38,13.38,13.38,13.38,1.0,1.0,1.0,11.09,11.09,11.09,11.09,1,1,1,10.85,10.85,10.85,10.85,1,1,1,159.51,159.51,159.51,159.51,1,1,1
2019-02-27 13:05:00,23.18,23.18,23.18,23.18,1,1,100,12.68,12.68,12.68,12.68,1.0,1.0,1.0,11.09,11.09,11.09,11.09,3,1,3,10.7,10.7,10.55,10.55,3,1,3,159.51,159.51,159.51,159.51,1,1,1
2019-03-29 10:30:00,21.76,21.76,21.76,21.76,1,1,100,13.39,13.39,13.39,13.39,1.0,1.0,1.0,11.1,11.1,11.09,11.09,2,1,2,10.44,10.44,10.43,10.43,2,1,2,159.51,159.51,159.51,159.51,1,1,1
