date,ESGU11_open,ESGU11_high,ESGU11_low,ESGU11_close,ESGU11_tick_volume,ESGU11_spread,ESGU11_real_volume,ELAS11_open,ELAS11_high,ELAS11_low,ELAS11_close,ELAS11_tick_volume,ELAS11_spread,ELAS11_tick_volume,HASH11_open,HASH11_high,HASH11_low,HASH11_close,HASH11_tick_volume,HASH11_spread,HASH11_tick_volume,BITH11_open,BITH11_high,BITH11_low,BITH11_close,BITH11_tick_volume,BITH11_spread,BITH11_tick_volume,CRPT11_open,CRPT11_high,CRPT11_low,CRPT11_close,CRPT11_tick_volume,CRPT11_spread,CRPT11_tick_volume
2022-03-10 17:45:00,8.09,8.1,8.09,8.1,3,1,10330,99.75,99.75,99.75,99.75,5,1,5,60.94,61.0,60.91,60.96,45,1,45,52.4,52.4,52.0,52.0,11,1,11,8.67,8.67,8.67,8.67,1,1,1
2022-03-11 18:15:00,8.1,8.1,8.1,8.1,2,1,131800,99.75,99.75,99.75,99.75,5,1,5,60.93,60.95,60.9,60.92,27,1,27,52.15,52.45,52.15,52.45,7,1,7,8.67,8.67,8.67,8.67,3,1,3
2022-03-14 10:34:00,8.11,8.11,8.11,8.11,1,1,51,99.75,100.2,99.75,100.2,5,1,5,60.91,60.96,60.91,60.96,5,1,5,52.45,52.45,52.45,52.45,1,1,1,8.67,8.67,8.67,8.67,1,1,1
2022-03-14 12:02:00,8.14,8.14,8.08,8.08,3,1,341501,100.15,100.15,100.15,100.15,2,1,2,60.96,60.97,60.94,60.94,8,1,8,52.45,52.45,52.45,52.45,1,1,1,8.57,8.57,8.57,8.57,1,1,1
2022-03-15 15:54:00,8.27,8.27,8.27,8.27,1,1,100,100.17,100.17,100.17,100.17,1,1,1,60.93,60.95,60.86,60.86,26,1,26,52.45,52.45,52.45,52.45,1,1,1,8.57,8.57,8.57,8.57,1,1,1
2022-03-15 16:22:00,8.33,8.33,8.3,8.3,2,1,118,99.75,99.75,99.75,99.75,1,1,1,60.88,60.9,60.88,60.88,7,1,7,52.3,52.3,52.01,52.2,10,1,10,8.57,8.57,8.57,8.57,1,1,1
2022-03-15 16:40:00,8.3,8.31,8.3,8.31,3,1,416500,100.5,100.5,100.5,100.5,1,1,1,60.87,60.88,60.85,60.88,16,1,16,52.25,52.56,52.25,52.56,8,1,8,8.49,8.49,8.49,8.49,1,1,1
2022-03-16 10:05:00,8.12,8.12,8.12,8.12,1,1,2,100.32,100.32,100.32,100.32,1,1,1,60.87,61.01,60.87,61.01,20,1,20,52.6,52.6,52.6,52.6,1,1,1,8.46,8.46,8.45,8.46,3,1,3
2022-03-16 11:02:00,8.08,8.08,8.08,8.08,1,1,1,100.66,100.66,100.66,100.66,1,1,1,61.01,61.02,60.96,60.99,23,1,23,52.6,52.6,52.6,52.6,1,1,1,8.57,8.57,8.57,8.57,1,1,1
2022-03-16 11:09:00,8.39,8.39,8.36,8.36,2,1,4,101.66,103.32,101.66,103.32,3,1,3,60.99,61.05,60.97,61.05,10,1,10,52.65,52.65,52.65,52.65,1,1,1,8.5,8.5,8.5,8.5,1,1,1
