date,XMAL11_open,XMAL11_high,XMAL11_low,XMAL11_close,XMAL11_tick_volume,XMAL11_spread,XMAL11_real_volume,SMAB11_open,SMAB11_high,SMAB11_low,SMAB11_close,SMAB11_tick_volume,SMAB11_spread,SMAB11_tick_volume,TRIG11_open,TRIG11_high,TRIG11_low,TRIG11_close,TRIG11_tick_volume,TRIG11_spread,TRIG11_tick_volume,IVVB11_open,IVVB11_high,IVVB11_low,IVVB11_close,IVVB11_tick_volume,IVVB11_spread,IVVB11_tick_volume,SPXB11_open,SPXB11_high,SPXB11_low,SPXB11_close,SPXB11_tick_volume,SPXB11_spread,SPXB11_tick_volume
2021-09-27 12:01:00,8.94,8.94,8.94,8.94,1,1,9,,,,,,,,44.15,44.15,44.15,44.15,1.0,1.0,1.0,282.41,282.6,282.41,282.57,21,1,21,10.25,10.25,10.25,10.25,1.0,1.0,1.0
2021-09-27 12:04:00,8.94,8.94,8.94,8.94,1,1,2,,,,,,,,44.1,44.1,44.1,44.1,1.0,1.0,1.0,282.5,282.64,282.49,282.64,35,1,35,10.24,10.24,10.24,10.24,1.0,1.0,1.0
2021-09-27 12:16:00,8.86,8.86,8.86,8.86,1,1,15,,,,,,,,44.06,44.06,44.06,44.06,1.0,1.0,1.0,282.63,282.7,282.5,282.67,25,1,25,10.23,10.23,10.23,10.23,1.0,1.0,1.0
2021-09-27 12:21:00,8.93,8.93,8.93,8.93,1,1,1,,,,,,,,44.09,44.09,44.09,44.09,2.0,1.0,2.0,282.59,282.7,282.53,282.7,11,1,11,10.23,10.23,10.2,10.2,7.0,1.0,7.0
2021-09-27 12:34:00,8.99,8.99,8.99,8.99,1,1,1,,,,,,,,44.1,44.1,44.1,44.1,1.0,1.0,1.0,282.68,282.7,282.51,282.51,12,1,12,10.19,10.19,10.19,10.19,1.0,1.0,1.0
2021-09-27 12:44:00,9.1,9.1,9.1,9.1,1,1,15,,,,,,,,44.14,44.14,44.14,44.14,1.0,1.0,1.0,282.69,282.7,282.58,282.69,17,1,17,10.16,10.16,10.16,10.16,1.0,1.0,1.0
2021-09-27 12:46:00,9.1,9.1,9.1,9.1,1,1,10,,,,,,,,44.56,44.56,44.56,44.56,1.0,1.0,1.0,282.69,282.78,282.69,282.78,7,1,7,10.15,10.15,10.15,10.15,3.0,1.0,3.0
2021-09-27 12:58:00,8.92,8.92,8.92,8.92,1,1,25,,,,,,,,44.7,44.7,44.7,44.7,1.0,1.0,1.0,282.8,282.98,282.68,282.98,14,1,14,10.18,10.18,10.18,10.18,1.0,1.0,1.0
2021-09-27 13:00:00,8.92,8.92,8.92,8.92,1,1,1,,,,,,,,44.32,44.32,44.31,44.31,2.0,1.0,2.0,282.95,283.12,282.94,283.12,25,1,25,10.15,10.15,10.15,10.15,1.0,1.0,1.0
2021-09-27 13:03:00,8.92,8.92,8.92,8.92,1,1,1,,,,,,,,44.43,44.43,44.43,44.43,1.0,1.0,1.0,283.12,283.3,283.1,283.3,30,1,30,10.1,10.1,10.1,10.1,2.0,1.0,2.0
