date,META11_open,META11_high,META11_low,META11_close,META11_tick_volume,META11_spread,META11_real_volume,ETHE11_open,ETHE11_high,ETHE11_low,ETHE11_close,ETHE11_tick_volume,ETHE11_spread,ETHE11_tick_volume,WEB311_open,WEB311_high,WEB311_low,WEB311_close,WEB311_tick_volume,WEB311_spread,WEB311_tick_volume,NFTS11_open,NFTS11_high,NFTS11_low,NFTS11_close,NFTS11_tick_volume,NFTS11_spread,NFTS11_tick_volume,BLOK11_open,BLOK11_high,BLOK11_low,BLOK11_close,BLOK11_tick_volume,BLOK11_spread,BLOK11_tick_volume
2022-09-27 10:38:00,44.39,45.0,44.39,45.0,6,1,50,60.62,60.62,60.6,60.6,2,1,2,19.97,19.97,19.97,19.97,1,1,1,39.4,39.4,39.4,39.4,1,1,1,,,,,,,
2022-09-27 11:14:00,43.25,43.25,43.15,43.15,3,1,10,60.6,60.6,60.6,60.6,3,1,3,19.94,19.94,19.94,19.94,1,1,1,39.4,39.4,39.4,39.4,1,1,1,,,,,,,
2022-09-27 11:16:00,43.15,43.15,43.15,43.15,1,1,6,60.63,60.63,60.57,60.57,5,1,5,20.11,20.11,20.11,20.11,1,1,1,39.3,39.3,39.3,39.3,1,1,1,,,,,,,
2022-09-27 11:18:00,44.99,44.99,44.99,44.99,2,1,4,60.55,60.56,60.46,60.46,9,1,9,19.95,19.95,19.91,19.91,2,1,2,39.3,39.3,39.3,39.3,1,1,1,,,,,,,
2022-09-27 12:14:00,44.99,45.0,44.99,45.0,6,1,400,60.57,60.57,60.57,60.57,1,1,1,19.41,19.41,19.17,19.17,2,1,2,39.2,39.2,39.2,39.2,1,1,1,,,,,,,
2022-09-27 12:35:00,43.18,43.18,43.18,43.18,1,1,1,60.57,60.57,60.57,60.57,1,1,1,19.5,19.5,19.5,19.5,1,1,1,37.8,37.8,37.8,37.8,1,1,1,,,,,,,
2022-09-27 13:17:00,44.98,44.98,44.98,44.98,1,1,1,60.57,60.58,60.57,60.58,5,1,5,19.5,19.5,19.5,19.5,1,1,1,37.8,37.8,37.8,37.8,1,1,1,,,,,,,
2022-09-27 13:18:00,44.98,44.98,44.98,44.98,1,1,10,60.5,60.5,60.48,60.48,2,1,2,20.3,20.3,20.3,20.3,1,1,1,37.8,39.15,37.8,39.15,2,1,2,,,,,,,
2022-09-27 14:28:00,43.24,43.24,43.24,43.24,1,1,1,60.46,60.48,60.31,60.48,9,1,9,20.15,20.15,20.15,20.15,1,1,1,39.08,39.08,39.08,39.08,1,1,1,,,,,,,
2022-09-28 10:22:00,43.24,43.24,43.24,43.24,1,1,1,60.47,60.47,60.37,60.37,3,1,3,20.31,20.31,20.31,20.31,1,1,1,39.08,39.08,39.08,39.08,1,1,1,,,,,,,
